GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,1022500004,185,201886,DeWanna Bonner,1611661325,Indiana Fever,2,7,46,Made Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,15,23,1,1,20250517,IND,CHI
Shot Chart Detail,1022500004,325,201886,DeWanna Bonner,1611661325,Indiana Fever,3,7,56,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side(R),24+ ft.,23,232,50,1,0,20250517,IND,CHI
Shot Chart Detail,1022500004,349,201886,DeWanna Bonner,1611661325,Indiana Fever,3,6,16,Missed Shot,Running Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,13,24,1,0,20250517,IND,CHI
Shot Chart Detail,1022500004,374,201886,DeWanna Bonner,1611661325,Indiana Fever,3,4,46,Missed Shot,Running Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-16,36,1,0,20250517,IND,CHI
Shot Chart Detail,1022500004,488,201886,DeWanna Bonner,1611661325,Indiana Fever,3,0,0,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,24,116,221,1,0,20250517,IND,CHI
Shot Chart Detail,1022500004,510,201886,DeWanna Bonner,1611661325,Indiana Fever,4,9,4,Made Shot,Running Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,29,30,1,1,20250517,IND,CHI
Shot Chart Detail,1022500004,525,201886,DeWanna Bonner,1611661325,Indiana Fever,4,7,23,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-35,13,1,0,20250517,IND,CHI
Shot Chart Detail,1022500004,570,201886,DeWanna Bonner,1611661325,Indiana Fever,4,4,58,Missed Shot,Jump Bank Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,14,-129,60,1,0,20250517,IND,CHI
Shot Chart Detail,1022500004,572,201886,DeWanna Bonner,1611661325,Indiana Fever,4,4,54,Missed Shot,Tip Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,0,-6,1,0,20250517,IND,CHI
Shot Chart Detail,1022500011,167,201886,DeWanna Bonner,1611661325,Indiana Fever,2,9,26,Missed Shot,Jump Shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,18,95,154,1,0,20250520,IND,ATL
